window_start_TR,mean_scaled_anxiety,binned_by_mean
72,0.2818266988075205,medium
77,0.2891613275452844,medium
82,0.264759587087732,medium
87,0.2403509063619686,medium
92,0.2164246871404578,medium
97,0.200546111512591,medium
102,0.1878541937244477,medium
107,0.1829786974194667,medium
112,0.1911491921831017,medium
117,0.2030951844308895,medium
122,0.212769466862746,medium
127,0.2184572036446514,medium
132,0.2294663590712843,medium
137,0.2422186891989549,medium
142,0.2497066658580916,medium
147,0.2450633754297659,medium
152,0.2345573658649982,medium
157,0.2219793223805119,medium
162,0.2085942284594794,medium
167,0.198280469377751,medium
172,0.1888353791963776,medium
177,0.1851980082104046,medium
182,0.182012113463278,medium
187,0.1813212383998976,medium
192,0.1752716862324956,low
197,0.1714558863413162,low
202,0.1785777908048184,low
207,0.1947076917375432,medium
212,0.2163297570737672,medium
217,0.2460496262867711,medium
222,0.29560455463524,medium
227,0.3581912785085835,medium
232,0.4244584518822109,medium
237,0.4880807665290405,high
242,0.5455918532706013,high
247,0.5998157426171211,high
252,0.6462279490665171,high
257,0.654311041933033,high
262,0.6458897625990294,high
267,0.6399275146259414,high
272,0.6326594097066052,high
277,0.6210641334687697,high
282,0.5875354888593535,high
287,0.546493562564328,high
292,0.5086893151875641,high
297,0.4641828642756431,medium
302,0.4155264395581813,medium
307,0.3692839159284208,medium
312,0.3275225887200427,medium
317,0.3234840079038201,medium
322,0.3328596886649586,medium
327,0.3415319446058786,medium
332,0.3468111893295061,medium
337,0.3541040046358297,medium
342,0.373215709263405,medium
347,0.3832640822590236,medium
352,0.364036281431245,medium
357,0.3433509889039935,medium
362,0.3230060963181203,medium
367,0.2999191660897147,medium
372,0.2793818124544123,medium
377,0.2614327981577967,medium
382,0.246431036138246,medium
387,0.2158401093597602,medium
392,0.1862128843047181,medium
397,0.1569743210076191,low
402,0.1183950393927601,low
407,0.0822272651468826,low
412,0.0701970884564135,low
417,0.0660720878247143,low
422,0.0687331938541566,low
427,0.078580612394443,low
432,0.1048768439298763,low
437,0.1318651229623489,low
442,0.1757479503467607,low
447,0.2525719926487061,medium
452,0.3336999277336149,medium
457,0.4122619378509088,medium
462,0.4900918844344271,high
467,0.5661627745575157,high
472,0.6391510131612416,high
477,0.7097864267220542,high
482,0.7777002848542125,high
487,0.8245892102412756,high
492,0.831594150971048,high
497,0.8255305110698963,high
502,0.7988941154274415,high
507,0.7487914011424491,high
512,0.6957050756607153,high
517,0.6443158714837519,high
522,0.615929232847683,high
